BranchNum,FID,kv_from,kv_to,tap,Lat1,Lat2,Lon1,Lon2,Length
1,0,115,115,0,37.77242587,37.77204138,-122.2429141,-122.2431428,0.037575171
2,1,115,115,0,37.77204138,37.76300165,-122.2431428,-122.2144787,2.031904551
3,2,115,115,0,37.77204138,37.77916592,-122.2431428,-122.2914541,3.060277775
4,3,115,115,0,37.77916592,37.77932178,-122.2914541,-122.2926976,0.08800768
5,4,115,115,0,37.77916592,37.78867205,-122.2914541,-122.2898182,0.720181179
6,5,115,115,0,37.78870633,37.79654309,-122.2888421,-122.2777623,1.162322047
7,6,66,66,0,33.70479615,33.51518854,-116.7311525,-116.7884555,24.08734748
8,7,66,66,0,33.83755882,33.83716371,-117.9681754,-117.9722592,0.26512081
9,8,66,66,0,33.83589462,33.8320679,-117.9761408,-117.9761157,0.263756947
10,9,66,66,0,33.8320679,33.81821075,-117.9761157,-117.9760117,0.955471529
11,10,66,66,0,33.83716371,33.83589462,-117.9722592,-117.9761408,0.267480061
12,11,66,66,0,33.81790755,33.81024667,-117.9292006,-117.8993654,2.222082517
13,12,66,66,0,33.84716815,33.82772189,-117.9057943,-117.8993493,1.394520363
14,13,66,66,0,33.82668375,33.82552884,-117.9024838,-117.9024028,0.102313082
15,14,66,66,0,33.82497397,33.81318375,-117.9023643,-117.8983093,0.847508636
16,15,66,66,0,33.82552884,33.82497397,-117.9024028,-117.9023643,0.049153977
17,16,66,66,0,33.82552884,33.81379695,-117.9024028,-117.8983158,0.842605811
18,17,66,66,0,33.83107437,33.82698935,-117.9113015,-117.9025256,0.884858885
19,18,66,66,0,33.85342619,33.85919895,-117.8570327,-117.8549927,0.456168384
20,19,66,66,0,33.85919895,33.86836439,-117.8549927,-117.8312141,1.790796579
21,20,66,66,0,33.85793235,33.85342619,-117.8600204,-117.8570327,0.407827032
22,21,66,66,0,33.86519718,33.86773205,-117.8065639,-117.8262046,1.143414779
23,22,66,66,0,33.86773205,33.86836439,-117.8262046,-117.8312141,0.293170899
24,23,66,66,0,33.81746857,33.81780686,-117.9750924,-117.9444128,1.765210434
25,24,66,66,0,33.81780686,33.81782087,-117.9444128,-117.9388531,0.360502661
26,25,66,66,0,33.81782087,33.81788485,-117.9388531,-117.9327062,0.35367104
27,26,66,66,0,33.81788485,33.80803397,-117.9327062,-117.9332036,0.701712174
28,27,66,66,0,33.81788485,33.81790755,-117.9327062,-117.9292006,0.201683997
29,28,66,66,0,33.83716371,33.81707144,-117.9722592,-117.9764882,1.52670122
30,29,66,66,0,33.83773872,33.83962526,-117.9677759,-117.9676053,0.135369461
31,30,66,66,0,33.83962526,33.84682466,-117.9676053,-117.9236109,3.175372976
32,31,66,66,0,33.84682466,33.85078004,-117.9236109,-117.923438,0.308145847
33,32,66,66,0,33.85078004,33.85251418,-117.923438,-117.9199917,0.302831838
34,33,66,66,0,33.85251418,33.84837748,-117.9199917,-117.9106911,0.82774968
35,34,66,66,0,33.83750104,33.82741757,-117.9680094,-117.9287582,2.956013992
36,35,66,66,0,33.82741757,33.82940295,-117.9287582,-117.9194927,0.551767134
37,36,66,66,0,33.82939938,33.84837513,-117.9194915,-117.9107694,1.985064052
38,37,66,66,0,33.83100548,33.82694691,-117.9112902,-117.9024993,0.852202641
39,38,66,66,0,33.83099099,33.81795501,-117.9112808,-117.9060452,1.141022082
40,39,66,66,0,33.81035559,33.80718138,-117.9016493,-117.9022874,0.281288858
41,40,66,66,0,33.81795501,33.81796374,-117.9060452,-117.9039588,0.120027493
42,41,66,66,0,33.81796374,33.82497397,-117.9039588,-117.9023643,0.659885907
43,42,66,66,0,33.81094033,33.81796374,-117.90185,-117.9039588,0.500630208
44,43,66,66,0,33.81035559,33.81094033,-117.9016493,-117.90185,0.053776053
45,44,66,66,0,33.80718138,33.80468917,-117.9022874,-117.9022983,0.171811148
46,45,66,66,0,33.85919895,33.85793235,-117.8549927,-117.8600204,0.302027871
47,46,66,66,0,33.85793235,33.85446865,-117.8600204,-117.8749477,0.893184516
48,47,66,66,0,33.85825575,33.86519718,-117.8071062,-117.8065639,0.525548287
49,48,66,66,0,33.85446865,33.85388744,-117.8749477,-117.8765408,0.151146855
50,49,66,66,0,33.85388744,33.85282342,-117.8765408,-117.8809189,0.262330449
51,50,66,66,0,33.85282342,33.85118011,-117.8809189,-117.880653,0.152614303
52,51,66,66,0,33.85118011,33.84715568,-117.880653,-117.8871492,0.643263389
53,52,66,66,0,33.84715568,33.8277273,-117.8871492,-117.8993266,2.075891547
54,53,66,66,0,33.82772189,33.8268833,-117.8993493,-117.9024927,0.193330078
55,54,66,66,0,33.8277273,33.82679425,-117.8993266,-117.9024544,0.20253515
56,55,66,66,0,33.81334919,33.81023134,-117.8978326,-117.8988155,0.289177447
57,56,66,66,0,33.81379695,33.81023082,-117.8983158,-117.898909,0.356422856
58,57,66,66,0,33.81318375,33.81023675,-117.8983093,-117.8992589,0.277004406
59,58,66,66,0,33.86466732,33.85629002,-117.7463288,-117.7683941,2.09453613
60,59,66,66,0,33.86464934,33.85762762,-117.7462665,-117.7704809,1.935452459
61,60,66,66,0,33.8562464,33.85762762,-117.768354,-117.7704809,0.186743394
62,61,66,66,0,33.85762762,33.86144081,-117.7704809,-117.773605,0.3243024
63,62,66,66,0,33.85969368,33.85944211,-117.7929253,-117.7982429,0.308466245
64,63,66,66,0,33.85944211,33.85938226,-117.7982429,-117.8024224,0.240447488
65,64,66,66,0,33.86340338,33.86428998,-117.7747162,-117.7754624,0.095661546
66,65,66,66,0,33.86428998,33.8592124,-117.7754624,-117.7883836,0.855272402
67,66,66,66,0,33.86144081,33.86340338,-117.773605,-117.7747162,0.149615122
68,67,66,66,0,33.86340338,33.8592124,-117.7747162,-117.7883836,0.881047366
69,68,66,66,0,33.85969368,33.8592124,-117.7929253,-117.7883836,0.264122814
70,69,66,66,0,33.85535778,33.85969461,-117.8352074,-117.7929383,2.527507614
