PlantCode,Lon,FuelType,GenId,Lat,GenBusDistance
34,-120.953341,Conventional Hydroelectric,1P,39.134259,1.80385954610297
72,-118.4168,Conventional Hydroelectric,1,34.01135,0.0372499298808989
151,-120.93139,Petroleum Liquids,1,37.62936,0.0127466182101133
151,-120.93139,Natural Gas Fired Combustion Turbine,2,37.62936,0.0127466182101133
161,-120.594678,Conventional Hydroelectric,1,37.611461,3.88403611806343
161,-120.594678,Conventional Hydroelectric,2,37.611461,3.88403611806343
161,-120.594678,Conventional Hydroelectric,3,37.611461,3.88403611806343
162,-120.746247,Conventional Hydroelectric,1,37.621536,3.6996253525537
162,-120.746247,Conventional Hydroelectric,2,37.621536,3.6996253525537
180,-121.86215,Conventional Hydroelectric,1,40.45193,0.921668627792146
214,-120.80355,Conventional Hydroelectric,1,39.215979,0.514517528231198
215,-120.539444,Conventional Hydroelectric,1,38.071944,0.0145312105536044
219,-121.249438,Conventional Hydroelectric,1,40.007445,0.00457963388253986
220,-121.327692,Conventional Hydroelectric,H1,39.91062,0.0400480460927835
220,-121.327692,Conventional Hydroelectric,H2,39.91062,0.0400480460927835
221,-121.190663,Conventional Hydroelectric,1,40.175656,0.0194834008703366
222,-121.148241,Conventional Hydroelectric,1,40.085476,0.0820233197643816
222,-121.148241,Conventional Hydroelectric,2,40.085476,0.0820233197643816
222,-121.148241,Conventional Hydroelectric,3,40.085476,0.0820233197643816
223,-121.149373,Conventional Hydroelectric,4,40.085997,0.0596435944104935
223,-121.149373,Conventional Hydroelectric,5,40.085997,0.0596435944104935
227,-122.121904,Conventional Hydroelectric,1,40.404645,0.0327135932532202
229,-122.02093,Conventional Hydroelectric,1,40.570817,0.125518163777449
229,-122.02093,Conventional Hydroelectric,2,40.570817,0.125518163777449
235,-120.767437,Conventional Hydroelectric,1,39.256873,0.0597690172439755
235,-120.767437,Conventional Hydroelectric,2,39.256873,0.0597690172439755
235,-120.767437,Conventional Hydroelectric,3,39.256873,0.0597690172439755
235,-120.767437,Conventional Hydroelectric,4,39.256873,0.0597690172439755
237,-120.835587,Conventional Hydroelectric,1,39.216985,2.27939040329824
238,-120.619152,Conventional Hydroelectric,1,38.793574,0.0258208836591367
238,-120.619152,Conventional Hydroelectric,2,38.793574,0.0258208836591367
239,-120.669901,Conventional Hydroelectric,1,38.330985,0.0629187687923154
239,-120.669901,Conventional Hydroelectric,2,38.330985,0.0629187687923154
239,-120.669901,Conventional Hydroelectric,3,38.330985,0.0629187687923154
240,-119.02025,Conventional Hydroelectric,H1,36.927424,0.0497720533708408
240,-119.02025,Conventional Hydroelectric,H2,36.927424,0.0497720533708408
241,-121.041932,Conventional Hydroelectric,1,38.956985,0.0265478030096556
242,-121.089479,Conventional Hydroelectric,1,40.268712,0.135013991766899
242,-121.089479,Conventional Hydroelectric,2,40.268712,0.135013991766899
243,-121.544462,Conventional Hydroelectric,1,40.929297,0.0329566737854412
244,-121.548657,Conventional Hydroelectric,1,40.960675,0.0346249435241015
246,-124.2103,Natural Gas Internal Combustion Engine,IC1,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC10,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC2,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC3,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC4,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC5,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC6,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC7,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC8,40.7415,0.141448164097297
246,-124.2103,Natural Gas Internal Combustion Engine,IC9,40.7415,0.141448164097297
248,-121.965502,Conventional Hydroelectric,1,40.400988,0.0506997065589765
249,-121.975182,Conventional Hydroelectric,1,40.992295,0.0554478341159868
249,-121.975182,Conventional Hydroelectric,2,40.992295,0.0554478341159868
250,-119.552826,Conventional Hydroelectric,H1,37.092486,0.0301990228331214
250,-119.552826,Conventional Hydroelectric,H3,37.092486,0.0301990228331214
253,-121.873253,Conventional Hydroelectric,1,40.677827,0.041052323654088
258,-120.329905,Conventional Hydroelectric,1,37.52301,0.0437112184625629
260,-121.782241,Natural Gas Fired Combined Cycle,CT1A,36.804837,0.597464060769704
260,-121.782241,Natural Gas Fired Combined Cycle,CT1B,36.804837,0.597464060769704
260,-121.782241,Natural Gas Fired Combined Cycle,CT2A,36.804837,0.597464060769704
260,-121.782241,Natural Gas Fired Combined Cycle,CT2B,36.804837,0.597464060769704
260,-121.782241,Natural Gas Fired Combined Cycle,ST1,36.804837,0.597464060769704
260,-121.782241,Natural Gas Fired Combined Cycle,ST2,36.804837,0.597464060769704
261,-120.446396,Conventional Hydroelectric,1,38.147093,0.0119552976855546
264,-120.326537,Conventional Hydroelectric,1,38.032103,6.43892018922724
265,-121.498243,Conventional Hydroelectric,H1,40.99084,0.0436504020683184
265,-121.498243,Conventional Hydroelectric,H2,40.99084,0.0436504020683184
267,-121.84944,Conventional Hydroelectric,1,40.986361,0.0823051634332113
267,-121.84944,Conventional Hydroelectric,2,40.986361,0.0823051634332113
268,-121.977594,Conventional Hydroelectric,H1,40.986197,0.103331804867681
268,-121.977594,Conventional Hydroelectric,H2,40.986197,0.103331804867681
268,-121.977594,Conventional Hydroelectric,H3,40.986197,0.103331804867681
268,-121.977594,Conventional Hydroelectric,H4,40.986197,0.103331804867681
269,-121.992906,Conventional Hydroelectric,H1,40.922568,0.0575537815497117
269,-121.992906,Conventional Hydroelectric,H2,40.922568,0.0575537815497117
274,-123.127934,Conventional Hydroelectric,1,39.361786,0.0214882113851043
274,-123.127934,Conventional Hydroelectric,2,39.361786,0.0214882113851043
274,-123.127934,Conventional Hydroelectric,3,39.361786,0.0214882113851043
275,-121.345226,Conventional Hydroelectric,H1,39.90521,1.63568181288095
275,-121.345226,Conventional Hydroelectric,H2,39.90521,1.63568181288095
279,-120.21811,Conventional Hydroelectric,1,38.497914,0.0623953840820304
279,-120.21811,Conventional Hydroelectric,2,38.497914,0.0623953840820304
280,-121.879186,Conventional Hydroelectric,1,40.395396,7.21495337131183
281,-120.644807,Conventional Hydroelectric,1,39.324613,8.46411988594745
282,-120.645375,Conventional Hydroelectric,1,39.324592,8.51157635161503
283,-120.635467,Conventional Hydroelectric,1,39.337679,8.11748886972417
284,-120.11168,Conventional Hydroelectric,1,38.18653,0.024378861933345
285,-120.370325,Conventional Hydroelectric,HC1,38.139048,0.12842009228544
287,-120.492645,Conventional Hydroelectric,H1,38.449291,0.0345432197016162
287,-120.492645,Conventional Hydroelectric,H2,38.449291,0.0345432197016162
289,-118.707104,Conventional Hydroelectric,1,36.163076,7.9558099937359
289,-118.707104,Conventional Hydroelectric,2,36.163076,7.9558099937359
290,-121.86708,Conventional Hydroelectric,1,40.459111,0.0734499430284814
291,-120.549572,Conventional Hydroelectric,1,38.420898,0.0218668847451341
292,-121.098525,Conventional Hydroelectric,1,38.889862,0.00758962889943344
292,-121.098525,Conventional Hydroelectric,2,38.889862,0.00758962889943344
294,-122.335317,Conventional Hydroelectric,1,41.978914,0.118036554704245
294,-122.335317,Conventional Hydroelectric,2,41.978914,0.118036554704245
295,-122.358127,Conventional Hydroelectric,1,41.975716,0.301308293970296
295,-122.358127,Conventional Hydroelectric,2,41.975716,0.301308293970296
296,-122.360455,Conventional Hydroelectric,1,41.985605,0.966796735215281
296,-122.360455,Conventional Hydroelectric,2,41.985605,0.966796735215281
296,-122.360455,Conventional Hydroelectric,3,41.985605,0.966796735215281
297,-122.43678,Conventional Hydroelectric,1,41.932981,0.00260571240545163
314,-115.392026,Conventional Hydroelectric,1,32.673097,0.0491478026990575
314,-115.392026,Conventional Hydroelectric,2,32.673097,0.0491478026990575
315,-118.1009,Natural Gas Steam Turbine,3,33.7688,0.287994966579558
315,-118.1009,Natural Gas Steam Turbine,4,33.7688,0.287994966579558
315,-118.1009,Natural Gas Steam Turbine,5,33.7688,0.287994966579558
316,-118.4795,Conventional Hydroelectric,1,34.0969,3.28574964151699
318,-119.3069,Conventional Hydroelectric,3,37.2,0.0122161223066755
318,-119.3069,Conventional Hydroelectric,4,37.2,0.0122161223066755
318,-119.3069,Conventional Hydroelectric,5,37.2,0.0122161223066755
318,-119.3069,Conventional Hydroelectric,6,37.2,0.0122161223066755
319,-119.386623,Conventional Hydroelectric,1,37.148517,0.173162006386722
319,-119.386623,Conventional Hydroelectric,2,37.148517,0.173162006386722
319,-119.386623,Conventional Hydroelectric,3,37.148517,0.173162006386722
319,-119.386623,Conventional Hydroelectric,4,37.148517,0.173162006386722
319,-119.386623,Conventional Hydroelectric,5,37.148517,0.173162006386722
321,-119.3289,Conventional Hydroelectric,1,37.2096,0.0132069251650499
321,-119.3289,Conventional Hydroelectric,2,37.2096,0.0132069251650499
322,-119.30681,Conventional Hydroelectric,1,37.200062,0.00719205342782757
322,-119.30681,Conventional Hydroelectric,2,37.200062,0.00719205342782757
323,-118.573339,Conventional Hydroelectric,1,37.273581,0.0412965051554618
323,-118.573339,Conventional Hydroelectric,2,37.273581,0.0412965051554618
323,-118.573339,Conventional Hydroelectric,3,37.273581,0.0412965051554618
324,-118.531957,Conventional Hydroelectric,1,37.301962,0.036822108900735
324,-118.531957,Conventional Hydroelectric,2,37.301962,0.036822108900735
324,-118.531957,Conventional Hydroelectric,3,37.301962,0.036822108900735
325,-118.501714,Conventional Hydroelectric,1,37.323035,0.00477190667059511
325,-118.501714,Conventional Hydroelectric,2,37.323035,0.00477190667059511
325,-118.501714,Conventional Hydroelectric,3,37.323035,0.00477190667059511
325,-118.501714,Conventional Hydroelectric,4,37.323035,0.00477190667059511
325,-118.501714,Conventional Hydroelectric,5,37.323035,0.00477190667059511
326,-118.4797,Conventional Hydroelectric,1,37.3344,0.0308804731661045
326,-118.4797,Conventional Hydroelectric,2,37.3344,0.0308804731661045
327,-118.4628,Conventional Hydroelectric,1,37.3499,0.029272236677495
328,-118.524804,Conventional Hydroelectric,1,35.588069,0.0055228743729858
328,-118.524804,Conventional Hydroelectric,2,35.588069,0.0055228743729858
328,-118.524804,Conventional Hydroelectric,3,35.588069,0.0055228743729858
332,-117.397119,Conventional Hydroelectric,1,34.155162,2.45799398666541
332,-117.397119,Conventional Hydroelectric,2,34.155162,2.45799398666541
335,-117.9792,Natural Gas Steam Turbine,2,33.6439,0.262956087756889
337,-118.862023,Conventional Hydroelectric,1,36.465066,0.00497097390888722
339,-118.436233,Conventional Hydroelectric,1,35.776185,0.00233730379619773
339,-118.436233,Conventional Hydroelectric,2,35.776185,0.00233730379619773
340,-118.77959,Conventional Hydroelectric,1,35.460303,0.0151059687074198
340,-118.77959,Conventional Hydroelectric,2,35.460303,0.0151059687074198
340,-118.77959,Conventional Hydroelectric,3,35.460303,0.0151059687074198
340,-118.77959,Conventional Hydroelectric,4,35.460303,0.0151059687074198
341,-118.2248,Natural Gas Fired Combustion Turbine,CT1,33.7641,0.164334552455774
341,-118.2248,Natural Gas Fired Combustion Turbine,CT2,33.7641,0.164334552455774
341,-118.2248,Natural Gas Fired Combustion Turbine,CT3,33.7641,0.164334552455774
341,-118.2248,Natural Gas Fired Combustion Turbine,CT4,33.7641,0.164334552455774
344,-119.337983,Conventional Hydroelectric,1,37.220302,0.00383380834247877
344,-119.337983,Conventional Hydroelectric,2,37.220302,0.00383380834247877
350,-119.1689,Natural Gas Steam Turbine,1,34.1292,0.244701336298162
350,-119.1689,Natural Gas Steam Turbine,2,34.1292,0.244701336298162
353,-119.2161,Conventional Hydroelectric,1,37.944237,0.0176119321577133
356,-118.395,Natural Gas Steam Turbine,5,33.8504,0.271671809618755
356,-118.395,Natural Gas Steam Turbine,6,33.8504,0.271671809618755
356,-118.395,Natural Gas Steam Turbine,8,33.8504,0.271671809618755
357,-119.123284,Conventional Hydroelectric,1,37.766954,0.00589614005449342
357,-119.123284,Conventional Hydroelectric,2,37.766954,0.00589614005449342
358,-117.2418,Natural Gas Fired Combined Cycle,MV3A,34.0818,0.289579476032422
358,-117.2418,Natural Gas Fired Combined Cycle,MV3B,34.0818,0.289579476032422
358,-117.2418,Natural Gas Fired Combined Cycle,MV3C,34.0818,0.289579476032422
358,-117.2418,Natural Gas Fired Combined Cycle,MV4A,34.0818,0.289579476032422
358,-117.2418,Natural Gas Fired Combined Cycle,MV4B,34.0818,0.289579476032422
358,-117.2418,Natural Gas Fired Combined Cycle,MV4C,34.0818,0.289579476032422
361,-117.058481,Conventional Hydroelectric,1,34.14522,0.073916373824645
361,-117.058481,Conventional Hydroelectric,2,34.14522,0.073916373824645
361,-117.058481,Conventional Hydroelectric,3,34.14522,0.073916373824645
361,-117.058481,Conventional Hydroelectric,4,34.14522,0.073916373824645
365,-118.788868,Conventional Hydroelectric,1,36.13568,0.0216738228483153
365,-118.788868,Conventional Hydroelectric,2,36.13568,0.0216738228483153
376,-120.8507,Conventional Hydroelectric,1,38.2569,0.0341075555281551
376,-120.8507,Conventional Hydroelectric,2,38.2569,0.0341075555281551
376,-120.8507,Conventional Hydroelectric,3,38.2569,0.0341075555281551
377,-118.2782,Natural Gas Fired Combined Cycle,1,34.1556,0.065377859955698
377,-118.2782,Natural Gas Fired Combined Cycle,2,34.1556,0.065377859955698
377,-118.2782,Landfill Gas,3,34.1556,0.065377859955698
377,-118.2782,Natural Gas Steam Turbine,4,34.1556,0.065377859955698
377,-118.2782,Natural Gas Steam Turbine,5,34.1556,0.065377859955698
377,-118.2782,Natural Gas Fired Combined Cycle,8A,34.1556,0.065377859955698
377,-118.2782,Natural Gas Fired Combined Cycle,8BC,34.1556,0.065377859955698
377,-118.2782,Natural Gas Fired Combustion Turbine,9,34.1556,0.065377859955698
380,-119.9675,Conventional Hydroelectric,1,37.896649,2.39505244392854
380,-119.9675,Conventional Hydroelectric,2,37.896649,2.39505244392854
382,-119.953233,Conventional Hydroelectric,1,37.877667,1.13585357903057
382,-119.953233,Conventional Hydroelectric,2,37.877667,1.13585357903057
382,-119.953233,Conventional Hydroelectric,3,37.877667,1.13585357903057
385,-115.030975,Conventional Hydroelectric,1,32.705435,0.088471553556024
385,-115.030975,Conventional Hydroelectric,2,32.705435,0.088471553556024
386,-115.126103,Conventional Hydroelectric,1,32.705428,0.0743615045132615
386,-115.126103,Conventional Hydroelectric,2,32.705428,0.0743615045132615
387,-115.219067,Conventional Hydroelectric,1,32.705341,0.135743249660456
387,-115.219067,Conventional Hydroelectric,2,32.705341,0.135743249660456
388,-114.713858,Conventional Hydroelectric,1,32.736642,0.0663657734290062
388,-114.713858,Conventional Hydroelectric,2,32.736642,0.0663657734290062
389,-115.54,Natural Gas Fired Combined Cycle,2,32.802222,0.266975085224702
389,-115.54,Natural Gas Fired Combined Cycle,2A,32.802222,0.266975085224702
389,-115.54,Natural Gas Fired Combined Cycle,30,32.802222,0.266975085224702
389,-115.54,Natural Gas Fired Combined Cycle,31,32.802222,0.266975085224702
389,-115.54,Natural Gas Fired Combined Cycle,32,32.802222,0.266975085224702
389,-115.54,Natural Gas Steam Turbine,4,32.802222,0.266975085224702
389,-115.54,Batteries,BESS,32.802222,0.266975085224702
391,-118.324075,Conventional Hydroelectric,1,37.142795,0.0807998864916698
396,-118.494449,Conventional Hydroelectric,1,34.318248,0.790315784530617
397,-118.413377,Conventional Hydroelectric,1,34.103931,3.73007626901939
398,-117.956667,Conventional Hydroelectric,1,36.109722,0.026775582020459
398,-117.956667,Conventional Hydroelectric,2,36.109722,0.026775582020459
399,-118.2656,Natural Gas Fired Combined Cycle,10A,33.7706,0.0606650181892549
399,-118.2656,Natural Gas Fired Combined Cycle,10B,33.7706,0.0606650181892549
399,-118.2656,Natural Gas Fired Combined Cycle,5,33.7706,0.0606650181892549
399,-118.2656,Natural Gas Fired Combustion Turbine,GT10,33.7706,0.0606650181892549
399,-118.2656,Natural Gas Fired Combustion Turbine,GT11,33.7706,0.0606650181892549
399,-118.2656,Natural Gas Fired Combustion Turbine,GT12,33.7706,0.0606650181892549
399,-118.2656,Natural Gas Fired Combustion Turbine,GT13,33.7706,0.0606650181892549
399,-118.2656,Natural Gas Fired Combustion Turbine,GT14,33.7706,0.0606650181892549
400,-118.09913,Natural Gas Steam Turbine,1,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combined Cycle,10,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combustion Turbine,11,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combustion Turbine,12,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combustion Turbine,13,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combustion Turbine,14,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combustion Turbine,15,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combustion Turbine,16,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Steam Turbine,2,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combined Cycle,8,33.764741,0.0251150528907462
400,-118.09913,Natural Gas Fired Combined Cycle,9,33.764741,0.0251150528907462
401,-118.569167,Conventional Hydroelectric,1,37.51,4.38987403620199
403,-118.492778,Conventional Hydroelectric,1,34.312778,0.257772143646004
403,-118.492778,Conventional Hydroelectric,2,34.312778,0.257772143646004
404,-118.427648,Natural Gas Steam Turbine,1,33.918151,0.24208330209685
404,-118.427648,Natural Gas Steam Turbine,2,33.918151,0.24208330209685
404,-118.427648,Natural Gas Fired Combined Cycle,4,33.918151,0.24208330209685
404,-118.427648,Natural Gas Fired Combined Cycle,5,33.918151,0.24208330209685
404,-118.427648,Natural Gas Fired Combustion Turbine,6,33.918151,0.24208330209685
404,-118.427648,Natural Gas Fired Combustion Turbine,7,33.918151,0.24208330209685
407,-118.590001,Conventional Hydroelectric,1,37.546036,0.0189104080312457
408,-118.391327,Natural Gas Fired Combustion Turbine,5,34.244991,0.255170620493717
408,-118.391327,Natural Gas Fired Combined Cycle,6,34.244991,0.255170620493717
408,-118.391327,Natural Gas Fired Combined Cycle,7,34.244991,0.255170620493717
408,-118.391327,Natural Gas Fired Combined Cycle,8,34.244991,0.255170620493717
410,-120.31009,Conventional Hydroelectric,1,37.522065,1.790635362761
412,-120.890856,Conventional Hydroelectric,2P,39.177903,7.88286277317455
413,-120.8352,Conventional Hydroelectric,3P,39.2184,2.26936486160952
