Generator Number,Bus Number,PlantCode,Lon,FuelType,GenId,Lat,GenBusDistance
1,998,34,-120.953341,Conventional Hydroelectric,1P,39.134259,1.803859546
2,2763,72,-118.4168,Conventional Hydroelectric,1,34.01135,0.03724993
3,2404,151,-120.93139,Petroleum Liquids,1,37.62936,0.012746618
4,2404,151,-120.93139,Natural Gas Fired Combustion Turbine,2,37.62936,0.012746618
5,2613,161,-120.594678,Conventional Hydroelectric,1,37.611461,3.884036118
6,2613,161,-120.594678,Conventional Hydroelectric,2,37.611461,3.884036118
7,2613,161,-120.594678,Conventional Hydroelectric,3,37.611461,3.884036118
8,1785,162,-120.746247,Conventional Hydroelectric,1,37.621536,3.699625353
9,1785,162,-120.746247,Conventional Hydroelectric,2,37.621536,3.699625353
10,2310,180,-121.86215,Conventional Hydroelectric,1,40.45193,0.921668628
11,997,214,-120.80355,Conventional Hydroelectric,1,39.215979,0.514517528
12,2096,215,-120.539444,Conventional Hydroelectric,1,38.071944,0.014531211
13,9378,219,-121.249438,Conventional Hydroelectric,1,40.007445,0.004579634
14,2909,220,-121.327692,Conventional Hydroelectric,H1,39.91062,0.040048046
15,2909,220,-121.327692,Conventional Hydroelectric,H2,39.91062,0.040048046
16,2313,221,-121.190663,Conventional Hydroelectric,1,40.175656,0.019483401
17,9914,222,-121.148241,Conventional Hydroelectric,1,40.085476,0.08202332
18,9914,222,-121.148241,Conventional Hydroelectric,2,40.085476,0.08202332
19,9914,222,-121.148241,Conventional Hydroelectric,3,40.085476,0.08202332
20,9914,223,-121.149373,Conventional Hydroelectric,4,40.085997,0.059643594
21,9914,223,-121.149373,Conventional Hydroelectric,5,40.085997,0.059643594
22,2306,227,-122.121904,Conventional Hydroelectric,1,40.404645,0.032713593
23,2297,229,-122.02093,Conventional Hydroelectric,1,40.570817,0.125518164
24,2297,229,-122.02093,Conventional Hydroelectric,2,40.570817,0.125518164
25,9950,235,-120.767437,Conventional Hydroelectric,1,39.256873,0.059769017
26,9950,235,-120.767437,Conventional Hydroelectric,2,39.256873,0.059769017
27,9950,235,-120.767437,Conventional Hydroelectric,3,39.256873,0.059769017
28,9950,235,-120.767437,Conventional Hydroelectric,4,39.256873,0.059769017
29,997,237,-120.835587,Conventional Hydroelectric,1,39.216985,2.279390403
30,160,238,-120.619152,Conventional Hydroelectric,1,38.793574,0.025820884
31,160,238,-120.619152,Conventional Hydroelectric,2,38.793574,0.025820884
32,9130,239,-120.669901,Conventional Hydroelectric,1,38.330985,0.062918769
33,9130,239,-120.669901,Conventional Hydroelectric,2,38.330985,0.062918769
34,9130,239,-120.669901,Conventional Hydroelectric,3,38.330985,0.062918769
35,2163,240,-119.02025,Conventional Hydroelectric,H1,36.927424,0.049772053
36,2163,240,-119.02025,Conventional Hydroelectric,H2,36.927424,0.049772053
37,1002,241,-121.041932,Conventional Hydroelectric,1,38.956985,0.026547803
38,481,242,-121.089479,Conventional Hydroelectric,1,40.268712,0.135013992
39,481,242,-121.089479,Conventional Hydroelectric,2,40.268712,0.135013992
40,1677,243,-121.544462,Conventional Hydroelectric,1,40.929297,0.032956674
41,9797,244,-121.548657,Conventional Hydroelectric,1,40.960675,0.034624944
42,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC1,40.7415,0.141448164
43,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC10,40.7415,0.141448164
44,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC2,40.7415,0.141448164
45,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC3,40.7415,0.141448164
46,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC4,40.7415,0.141448164
47,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC5,40.7415,0.141448164
48,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC6,40.7415,0.141448164
49,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC7,40.7415,0.141448164
50,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC8,40.7415,0.141448164
51,259,246,-124.2103,Natural Gas Internal Combustion Engine,IC9,40.7415,0.141448164
52,2311,248,-121.965502,Conventional Hydroelectric,1,40.400988,0.050699707
53,2288,249,-121.975182,Conventional Hydroelectric,1,40.992295,0.055447834
54,2288,249,-121.975182,Conventional Hydroelectric,2,40.992295,0.055447834
55,2178,250,-119.552826,Conventional Hydroelectric,H1,37.092486,0.030199023
56,2178,250,-119.552826,Conventional Hydroelectric,H3,37.092486,0.030199023
57,2296,253,-121.873253,Conventional Hydroelectric,1,40.677827,0.041052324
58,832,258,-120.329905,Conventional Hydroelectric,1,37.52301,0.043711218
59,9327,260,-121.782241,Natural Gas Fired Combined Cycle,CT1A,36.804837,0.597464061
60,9327,260,-121.782241,Natural Gas Fired Combined Cycle,CT1B,36.804837,0.597464061
61,9327,260,-121.782241,Natural Gas Fired Combined Cycle,CT2A,36.804837,0.597464061
62,9327,260,-121.782241,Natural Gas Fired Combined Cycle,CT2B,36.804837,0.597464061
63,9327,260,-121.782241,Natural Gas Fired Combined Cycle,ST1,36.804837,0.597464061
64,9327,260,-121.782241,Natural Gas Fired Combined Cycle,ST2,36.804837,0.597464061
65,75,261,-120.446396,Conventional Hydroelectric,1,38.147093,0.011955298
66,1896,264,-120.326537,Conventional Hydroelectric,1,38.032103,6.438920189
67,9925,265,-121.498243,Conventional Hydroelectric,H1,40.99084,0.043650402
68,9925,265,-121.498243,Conventional Hydroelectric,H2,40.99084,0.043650402
69,2286,267,-121.84944,Conventional Hydroelectric,1,40.986361,0.082305163
70,2286,267,-121.84944,Conventional Hydroelectric,2,40.986361,0.082305163
71,2291,268,-121.977594,Conventional Hydroelectric,H1,40.986197,0.103331805
72,2291,268,-121.977594,Conventional Hydroelectric,H2,40.986197,0.103331805
73,2291,268,-121.977594,Conventional Hydroelectric,H3,40.986197,0.103331805
74,2291,268,-121.977594,Conventional Hydroelectric,H4,40.986197,0.103331805
75,2289,269,-121.992906,Conventional Hydroelectric,H1,40.922568,0.057553782
76,2289,269,-121.992906,Conventional Hydroelectric,H2,40.922568,0.057553782
77,1968,274,-123.127934,Conventional Hydroelectric,1,39.361786,0.021488211
78,1968,274,-123.127934,Conventional Hydroelectric,2,39.361786,0.021488211
79,1968,274,-123.127934,Conventional Hydroelectric,3,39.361786,0.021488211
80,2909,275,-121.345226,Conventional Hydroelectric,H1,39.90521,1.635681813
81,2909,275,-121.345226,Conventional Hydroelectric,H2,39.90521,1.635681813
82,41,279,-120.21811,Conventional Hydroelectric,1,38.497914,0.062395384
83,41,279,-120.21811,Conventional Hydroelectric,2,38.497914,0.062395384
84,2310,280,-121.879186,Conventional Hydroelectric,1,40.395396,7.214953371
85,999,281,-120.644807,Conventional Hydroelectric,1,39.324613,8.464119886
86,999,282,-120.645375,Conventional Hydroelectric,1,39.324592,8.511576352
87,999,283,-120.635467,Conventional Hydroelectric,1,39.337679,8.11748887
88,1969,284,-120.11168,Conventional Hydroelectric,1,38.18653,0.024378862
89,2515,285,-120.370325,Conventional Hydroelectric,HC1,38.139048,0.128420092
90,9997,287,-120.492645,Conventional Hydroelectric,H1,38.449291,0.03454322
91,9997,287,-120.492645,Conventional Hydroelectric,H2,38.449291,0.03454322
92,2518,289,-118.707104,Conventional Hydroelectric,1,36.163076,7.955809994
93,2518,289,-118.707104,Conventional Hydroelectric,2,36.163076,7.955809994
94,2310,290,-121.86708,Conventional Hydroelectric,1,40.459111,0.073449943
95,2605,291,-120.549572,Conventional Hydroelectric,1,38.420898,0.021866885
96,2333,292,-121.098525,Conventional Hydroelectric,1,38.889862,0.007589629
97,2333,292,-121.098525,Conventional Hydroelectric,2,38.889862,0.007589629
98,2279,294,-122.335317,Conventional Hydroelectric,1,41.978914,0.118036555
99,2279,294,-122.335317,Conventional Hydroelectric,2,41.978914,0.118036555
100,9422,295,-122.358127,Conventional Hydroelectric,1,41.975716,0.301308294
101,9422,295,-122.358127,Conventional Hydroelectric,2,41.975716,0.301308294
102,9422,296,-122.360455,Conventional Hydroelectric,1,41.985605,0.966796735
103,9422,296,-122.360455,Conventional Hydroelectric,2,41.985605,0.966796735
104,9422,296,-122.360455,Conventional Hydroelectric,3,41.985605,0.966796735
105,2278,297,-122.43678,Conventional Hydroelectric,1,41.932981,0.002605712
106,2277,314,-115.392026,Conventional Hydroelectric,1,32.673097,0.049147803
107,2277,314,-115.392026,Conventional Hydroelectric,2,32.673097,0.049147803
108,9471,315,-118.1009,Natural Gas Steam Turbine,3,33.7688,0.287994967
109,9471,315,-118.1009,Natural Gas Steam Turbine,4,33.7688,0.287994967
110,9471,315,-118.1009,Natural Gas Steam Turbine,5,33.7688,0.287994967
111,9955,316,-118.4795,Conventional Hydroelectric,1,34.0969,3.285749642
112,2158,318,-119.3069,Conventional Hydroelectric,3,37.2,0.012216122
113,2158,318,-119.3069,Conventional Hydroelectric,4,37.2,0.012216122
114,2158,318,-119.3069,Conventional Hydroelectric,5,37.2,0.012216122
115,2158,318,-119.3069,Conventional Hydroelectric,6,37.2,0.012216122
116,2180,319,-119.386623,Conventional Hydroelectric,1,37.148517,0.173162006
117,2180,319,-119.386623,Conventional Hydroelectric,2,37.148517,0.173162006
118,2180,319,-119.386623,Conventional Hydroelectric,3,37.148517,0.173162006
119,2180,319,-119.386623,Conventional Hydroelectric,4,37.148517,0.173162006
120,2180,319,-119.386623,Conventional Hydroelectric,5,37.148517,0.173162006
121,2165,321,-119.3289,Conventional Hydroelectric,1,37.2096,0.013206925
122,2165,321,-119.3289,Conventional Hydroelectric,2,37.2096,0.013206925
123,2158,322,-119.30681,Conventional Hydroelectric,1,37.200062,0.007192053
124,2158,322,-119.30681,Conventional Hydroelectric,2,37.200062,0.007192053
125,2156,323,-118.573339,Conventional Hydroelectric,1,37.273581,0.041296505
126,2156,323,-118.573339,Conventional Hydroelectric,2,37.273581,0.041296505
127,2156,323,-118.573339,Conventional Hydroelectric,3,37.273581,0.041296505
128,9747,324,-118.531957,Conventional Hydroelectric,1,37.301962,0.036822109
129,9747,324,-118.531957,Conventional Hydroelectric,2,37.301962,0.036822109
130,9747,324,-118.531957,Conventional Hydroelectric,3,37.301962,0.036822109
131,2152,325,-118.501714,Conventional Hydroelectric,1,37.323035,0.004771907
132,2152,325,-118.501714,Conventional Hydroelectric,2,37.323035,0.004771907
133,2152,325,-118.501714,Conventional Hydroelectric,3,37.323035,0.004771907
134,2152,325,-118.501714,Conventional Hydroelectric,4,37.323035,0.004771907
135,2152,325,-118.501714,Conventional Hydroelectric,5,37.323035,0.004771907
136,3038,326,-118.4797,Conventional Hydroelectric,1,37.3344,0.030880473
137,3038,326,-118.4797,Conventional Hydroelectric,2,37.3344,0.030880473
138,2946,327,-118.4628,Conventional Hydroelectric,1,37.3499,0.029272237
