bus_i,kV,Type,Import,Lat,Lon
1,115,'Substation',' ',37.77243572,-122.2429162
2,66,'Substation',' ',37.77848161,-121.6259513
3,66,'Substation',' ',37.7483765,-121.6772083
4,230,'Substation',' ',37.69128098,-122.0612774
5,115,'Substation',' ',37.59578193,-122.0174353
6,66,'Substation',' ',40.09403073,-123.5091868
7,115,'Substation',' ',37.55699202,-122.05794
8,115,'Substation',' ',37.73868954,-122.1937991
9,115,'Substation',' ',37.49369132,-121.9394285
10,115,'Substation',' ',37.67126804,-122.1595387
11,115,'Substation',' ',37.876174,-122.245764
12,66,'Substation',' ',37.66794608,-121.8318768
13,115,'Substation',' ',37.59531056,-122.0174915
14,66,'Substation',' ',37.70853376,-121.9070045
15,66,'Substation',' ',37.68002781,-121.7805048
16,66,'Substation',' ',37.71164362,-121.8938504
17,66,'Substation',' ',37.67255501,-121.859528
18,230,'Substation',' ',37.79905699,-121.6199438
19,115,'Substation',' ',37.71062477,-122.1481883
20,115,'Substation',' ',37.76299826,-122.2144948
21,115,'Substation',' ',37.58690266,-121.869684
22,115,'Substation',' ',37.60924399,-121.842671
23,66,'Substation',' ',37.71111924,-121.7158749
24,66,'Substation',' ',37.66968929,-121.8544376
25,66,'Substation',' ',38.408767,-120.822098
26,66,'Substation',' ',38.34219061,-120.9349804
27,66,'Substation',' ',38.37390104,-120.9575497
28,66,'Substation',' ',38.27717343,-120.9138995
29,66,'Substation',' ',38.36910799,-120.796754
30,66,'Substation',' ',38.36863575,-120.8054803
31,66,'Substation',' ',38.48076425,-120.8449436
32,115,'Substation',' ',38.4984199,-120.2184202
33,66,'Substation',' ',38.4127977,-120.6602339
34,115,'Substation',' ',37.71296547,-121.4775277
35,66,'Substation',' ',39.48122633,-121.5654854
36,66,'Substation',' ',39.36471317,-121.6856152
37,66,'Substation',' ',39.47437782,-121.5747818
38,66,'Substation',' ',39.4087526,-121.6886266
39,115,'Substation',' ',34.64326979,-120.4372802
40,66,'Substation',' ',39.81095374,-121.9196266
41,66,'Substation',' ',39.38767374,-121.4031757
42,115,'Substation',' ',39.71220645,-121.8133571
43,115,'Substation',' ',39.71884016,-121.8209206
44,115,'Substation',' ',39.72551493,-121.8470758
45,115,'Substation',' ',33.81774602,-116.3674057
46,115,'Substation',' ',39.60773551,-121.7683336
47,66,'Substation',' ',39.74641854,-122.0113693
48,115,'Substation',' ',39.7602408,-121.9070486
49,66,'Substation',' ',39.50399795,-121.560155
50,66,'Substation',' ',39.76066295,-121.6187304
51,66,'Substation',' ',39.37824172,-121.6850945
52,115,'Substation',' ',39.76876106,-121.8240284
53,115,'Substation',' ',39.48676454,-121.6880242
54,115,'Substation',' ',39.49170026,-121.5409467
55,66,'Substation',' ',38.16989692,-120.6672277
56,115,'Substation',' ',38.06981688,-120.4221335
57,66,'Substation',' ',38.10148065,-120.9261759
58,115,'Substation',' ',38.0571528,-120.5339711
59,230,'Substation',' ',37.9446466,-120.5362212
60,115,'Substation',' ',38.14698707,-120.4464194
61,66,'Substation',' ',38.19974699,-120.719348
62,66,'Substation',' ',39.01747968,-122.0613948
63,66,'Substation',' ',39.21353467,-122.0025503
64,66,'Substation',' ',38.96982277,-122.0433322
65,66,'Substation',' ',38.96922396,-122.0704684
66,66,'Substation',' ',39.27695996,-122.1532889
67,66,'Substation',' ',39.40274718,-122.0132647
68,66,'Substation',' ',39.15748765,-122.1477121
69,115,'Substation',' ',37.99392322,-122.1301156
70,66,'Substation',' ',37.81698936,-121.5871457
71,66,'Substation',' ',38.01132999,-121.748771
72,66,'Substation',' ',37.88699377,-121.5769277
73,66,'Substation',' ',38.01049965,-121.7562696
74,115,'Substation',' ',38.02639867,-121.8496279
75,115,'Substation',' ',38.01420008,-122.1158065
76,66,'Substation',' ',38.01900393,-122.2354177
77,66,'Substation',' ',37.92595616,-122.0713843
78,66,'Substation',' ',37.83870261,-121.6229064
79,66,'Substation',' ',37.92583801,-121.678276
80,115,'Substation',' ',38.0125913,-122.0426788
81,66,'Substation',' ',37.88525172,-121.8144465
82,115,'Substation',' ',37.94410025,-121.9691071
83,115,'Substation',' ',38.02598429,-121.8633112
84,66,'Substation',' ',38.01351802,-121.815552
85,115,'Substation',' ',38.02728725,-121.8543797
86,115,'Substation',' ',37.8759552,-122.1870459
87,115,'Substation',' ',38.01599634,-121.7739186
88,66,'Substation',' ',38.012107,-122.26433
89,66,'Substation',' ',37.81672046,-121.5861654
90,115,'Substation',' ',38.00163657,-122.0672557
91,66,'Substation',' ',37.90286541,-121.7226958
92,115,'Substation',' ',37.96324326,-122.0522531
93,115,'Substation',' ',37.99592158,-122.3481031
94,66,'Substation',' ',38.03732601,-122.178096
95,230,'Substation',' ',37.78241596,-121.9676624
96,66,'Substation',' ',38.028955,-122.103101
97,66,'Substation',' ',38.02477032,-121.9609733
98,66,'Substation',' ',41.77442883,-123.0350791
99,115,'Substation',' ',38.69341229,-120.8258948
100,115,'Substation',' ',38.88492041,-121.0671416
101,66,'Substation',' ',38.6349329,-120.9801828
102,66,'Substation',' ',38.91406597,-121.0189822
103,115,'Substation',' ',38.83485899,-121.094821
104,66,'Substation',' ',38.65929769,-120.9472381
105,66,'Substation',' ',38.85028861,-120.3819544
106,115,'Substation',' ',38.79337762,-120.619311
107,115,'Substation',' ',36.54076139,-119.5818423
108,115,'Substation',' ',36.75773233,-119.6968545
109,66,'Substation',' ',36.31946224,-119.9470597
110,66,'Substation',' ',36.23774299,-120.3687036
111,500,'Substation',' ',36.71509335,-120.7018288
112,66,'Substation',' ',36.22456945,-120.3814639
113,115,'Substation',' ',36.70056751,-119.754489
114,66,'Substation',' ',36.90286001,-119.773843
115,66,'Substation',' ',36.19229514,-120.3552717
116,66,'Substation',' ',36.63241754,-120.3423122
117,115,'Substation',' ',36.52807464,-120.4852632
118,66,'Substation',' ',36.79273987,-120.1141466
119,66,'Substation',' ',36.28400837,-120.122075
120,66,'Substation',' ',36.44598609,-119.7989666
121,115,'Substation',' ',36.42931356,-120.3416558
122,66,'Substation',' ',36.83609272,-120.4495568
123,66,'Substation',' ',36.53216946,-119.8814695
124,115,'Substation',' ',36.63275972,-120.5319935
125,66,'Substation',' ',36.89581265,-119.6647064
126,66,'Substation',' ',36.22650304,-120.3378885
127,66,'Substation',' ',36.57016948,-119.4190334
128,66,'Substation',' ',36.70935277,-119.0289556
129,66,'Substation',' ',36.8505811,-120.4663723
130,66,'Substation',' ',36.59142343,-120.1761988
131,66,'Substation',' ',36.18606391,-120.1039111
132,66,'Substation',' ',36.69153501,-120.060083
133,66,'Substation',' ',36.70562289,-119.882865
134,66,'Substation',' ',36.706794,-119.880023
135,115,'Substation',' ',36.69325502,-119.726534
136,230,'Substation',' ',36.59336916,-119.9887084
137,66,'Substation',' ',36.72059631,-120.4589551
138,66,'Substation',' ',36.75624051,-120.3653702
139,66,'Substation',' ',36.60561902,-119.773307
140,66,'Substation',' ',36.60755351,-119.5213101
141,115,'Substation',' ',36.78995077,-119.4034036
142,115,'Substation',' ',36.71022222,-119.5381139
143,66,'Substation',' ',36.6043472,-119.3762084
144,66,'Substation',' ',36.62093615,-120.1783513
145,66,'Substation',' ',36.53108764,-120.1045065
146,66,'Substation',' ',36.77054901,-119.393313
147,115,'Substation',' ',36.68753802,-119.721984
148,66,'Substation',' ',36.66108307,-120.3343954
149,66,'Substation',' ',36.35685741,-120.2512062
150,115,'Substation',' ',36.83604392,-120.6203074
151,66,'Substation',' ',39.58278564,-122.0104719
152,66,'Substation',' ',39.77596358,-122.1038109
153,66,'Substation',' ',39.78927916,-122.0513104
154,230,'Substation',' ',39.53951119,-122.2630509
155,66,'Substation',' ',39.725196,-122.178741
156,66,'Substation',' ',39.55776855,-122.0047037
157,66,'Substation',' ',39.531676,-122.1861239
158,66,'Substation',' ',39.58704303,-122.533157
159,66,'Substation',' ',40.87793436,-123.9946333
160,66,'Substation',' ',40.86708117,-124.0884243
161,66,'Substation',' ',41.16271474,-124.1020064
162,66,'Substation',' ',40.90584397,-124.0343692
163,66,'Substation',' ',40.8798343,-123.9805907
164,115,'Substation',' ',40.47964597,-123.7803098
165,66,'Substation',' ',40.80046704,-124.1962938
166,66,'Substation',' ',40.21377701,-123.5963844
167,66,'Substation',' ',40.28584174,-123.8373077
168,66,'Substation',' ',40.10300786,-123.7928774
169,66,'Substation',' ',40.78091459,-124.1318534
170,66,'Substation',' ',40.74032526,-124.2096559
171,66,'Substation',' ',40.90513782,-124.072347
172,66,'Substation',' ',40.86575137,-124.1523425
173,66,'Substation',' ',40.59459298,-124.1352072
174,230,'Substation',' ',37.80116,-121.641651
175,66,'Substation',' ',40.48092347,-124.1040001
176,66,'Substation',' ',40.72891925,-123.6697785
177,66,'Substation',' ',40.49538982,-124.0992681
178,66,'Substation',' ',40.82049761,-123.8282375
179,66,'Substation',' ',37.73329501,-121.120652
180,66,'Substation',' ',41.06473688,-124.1284232
181,115,'Substation',' ',32.99897909,-115.5188889
182,115,'Substation',' ',33.12533089,-115.9785357
183,66,'Substation',' ',32.78149971,-114.5745907
184,115,'Substation',' ',32.90250651,-114.4800809
185,115,'Substation',' ',33.38496117,-115.6887666
186,66,'Substation',' ',32.66910959,-115.5002718
187,115,'Substation',' ',32.81791422,-115.5779823
188,115,'Substation',' ',33.41180556,-116.0507499
189,115,'Substation',' ',32.79963333,-115.5791028
190,115,'Substation',' ',33.05360069,-114.9841401
191,115,'Substation',' ',33.04703333,-114.8841944
192,66,'Substation',' ',32.91199807,-115.5681245
193,66,'Substation',' ',32.75293878,-114.590084
194,115,'Substation',' ',32.70621445,-115.0311648
195,66,'Substation',' ',32.71114659,-114.9425616
196,115,'Substation',' ',32.73657328,-114.7126452
197,115,'Substation',' ',32.81140555,-115.680425
198,115,'Substation',' ',33.24227704,-115.501121
199,66,'Substation',' ',32.98697223,-115.5429722
200,66,'Substation',' ',32.79184606,-115.857801
201,66,'Substation',' ',32.68598055,-115.5085444
202,115,'Substation',' ',33.28528889,-115.9698333
203,115,'Substation',' ',32.79148946,-115.6946665
204,66,'Substation',' ',32.75270556,-115.6376722
205,115,'Substation',' ',32.88062222,-115.7434361
206,66,'Substation',' ',32.69940301,-115.2832006
207,66,'Substation',' ',33.03810038,-115.6189923
208,66,'Substation',' ',37.37438227,-117.9796042
209,115,'Substation',' ',36.10989167,-117.9564555
210,115,'Substation',' ',36.60071079,-118.0725009
211,66,'Substation',' ',37.35976047,-118.7018945
212,66,'Substation',' ',37.34980639,-118.4653526
213,66,'Substation',' ',37.40070021,-118.3505364
214,66,'Substation',' ',35.7116008,-120.0111956
215,66,'Substation',' ',35.65850145,-120.0424297
216,66,'Substation',' ',34.88051458,-118.9009699
217,66,'Substation',' ',35.4707658,-119.1183189
218,115,'Substation',' ',35.57075757,-119.1154201
219,115,'Substation',' ',35.40105743,-119.035393
220,230,'Substation',' ',34.95491418,-118.8442502
221,66,'Substation',' ',35.78573189,-119.8662835
222,66,'Substation',' ',35.06401416,-119.0618268
223,66,'Substation',' ',34.92639747,-118.9252995
224,66,'Substation',' ',35.6579012,-119.9964345
225,66,'Substation',' ',35.7755224,-119.9136038
226,66,'Substation',' ',35.15031453,-118.8784674
227,115,'Substation',' ',35.31698056,-118.9332139
228,66,'Substation',' ',35.38723247,-119.004436
229,66,'Substation',' ',35.61462223,-119.8537112
230,66,'Substation',' ',35.10678049,-119.4035453
231,66,'Substation',' ',35.54109995,-119.8052306
232,66,'Substation',' ',35.4747136,-119.7603817
233,66,'Substation',' ',35.09714151,-119.429419
234,115,'Substation',' ',35.60807501,-119.3253139
235,66,'Substation',' ',35.09339007,-119.2789365
236,115,'Substation',' ',35.31512502,-119.6095695
237,66,'Substation',' ',35.77500833,-119.9737889
238,115,'Substation',' ',35.42797818,-118.9764344
239,115,'Substation',' ',35.50103906,-119.0460399
240,66,'Substation',' ',35.35577972,-118.9717712
241,66,'Substation',' ',35.22606664,-119.3766031
242,115,'Substation',' ',35.19517779,-119.5852944
243,115,'Substation',' ',35.39404669,-119.3214819
244,115,'Substation',' ',35.3772676,-119.092688
245,115,'Substation',' ',35.50111517,-119.4489669
246,66,'Substation',' ',35.15360385,-119.3361848
247,66,'Substation',' ',34.91833522,-118.9261907
248,115,'Substation',' ',35.50944487,-119.0305112
249,66,'Substation',' ',35.09414443,-119.1011222
250,66,'Substation',' ',35.50036603,-119.1518273
251,66,'Substation',' ',35.10778002,-119.398181
252,66,'Substation',' ',35.68838406,-119.2768598
253,66,'Substation',' ',35.31982573,-119.6623248
254,115,'Substation',' ',35.24241942,-119.6245472
255,66,'Substation',' ',35.2329709,-119.5803103
256,66,'Substation',' ',35.09082503,-119.4070389
257,115,'Substation',' ',35.28599981,-119.3090374
258,66,'Substation',' ',35.20843056,-119.1006862
259,66,'Substation',' ',35.29555607,-119.0216521
260,66,'Substation',' ',35.517707,-119.7595381
261,115,'Substation',' ',35.44202961,-119.2607154
262,66,'Substation',' ',35.42982347,-118.8226315
263,115,'Substation',' ',35.37716309,-119.077933
264,66,'Substation',' ',35.09239722,-118.8781167
265,115,'Substation',' ',35.1933472,-119.5823472
266,115,'Substation',' ',35.60074571,-119.4375241
267,115,'Substation',' ',35.51390484,-119.3178014
268,115,'Substation',' ',35.71782151,-119.4553416
269,66,'Substation',' ',35.10881659,-118.5670131
270,66,'Substation',' ',35.0932291,-119.4438304
271,66,'Substation',' ',35.09175615,-119.4406975
272,66,'Substation',' ',35.01965139,-118.9796384
273,66,'Substation',' ',35.01965399,-118.9551559
274,115,'Substation',' ',35.19434121,-119.5712604
275,115,'Substation',' ',35.35416109,-119.2706556
276,66,'Substation',' ',35.73065651,-119.8580981
277,115,'Substation',' ',35.6018111,-119.3261944
278,66,'Substation',' ',35.22374722,-118.8800083
279,66,'Substation',' ',35.22432026,-118.7789744
280,115,'Substation',' ',35.37392781,-119.0403167
281,115,'Substation',' ',35.42795693,-118.9775056
282,115,'Substation',' ',35.29606803,-119.5924379
283,115,'Substation',' ',35.44070561,-119.0207361
284,66,'Substation',' ',34.81550555,-118.6861278
285,66,'Substation',' ',35.58810833,-118.5247667
286,66,'Substation',' ',35.12389407,-118.3741213
287,66,'Substation',' ',35.70369931,-119.2045057
288,66,'Substation',' ',35.03026569,-118.3108221
289,66,'Substation',' ',34.94057401,-117.9530671
290,66,'Substation',' ',35.10966362,-118.4946673
291,66,'Substation',' ',35.77551392,-119.2424861
292,230,'Substation',' ',34.94123996,-118.826285
293,66,'Substation',' ',34.81499978,-119.0098992
294,66,'Substation',' ',35.7222499,-118.6950727
295,66,'Substation',' ',35.05410894,-118.1861563
296,66,'Substation',' ',34.83738247,-118.1554673
297,66,'Substation',' ',35.73837172,-118.5564021
298,66,'Substation',' ',35.48368775,-118.5275716
299,66,'Substation',' ',35.63265859,-118.478256
300,66,'Substation',' ',35.6444035,-118.4818546
301,66,'Substation',' ',35.30690556,-118.4232873
302,66,'Substation',' ',35.12376189,-118.3796721
303,230,'Substation',' ',38.12530207,-121.832271
304,66,'Substation',' ',35.71895095,-119.2333701
305,230,'Substation',' ',34.93527777,-118.8431278
306,66,'Substation',' ',35.73285976,-119.1298083
307,115,'Substation',' ',34.93014632,-117.6977315
308,66,'Substation',' ',34.86428131,-118.2373311
309,115,'Substation',' ',34.87995833,-117.8962833
310,66,'Substation',' ',35.41102545,-118.492508
311,66,'Substation',' ',35.66663278,-118.2628215
312,66,'Substation',' ',34.81941387,-118.7510667
313,66,'Substation',' ',35.45227062,-118.9904154
314,66,'Substation',' ',36.08514444,-119.5536056
315,66,'Substation',' ',35.99203334,-119.5717083
316,66,'Substation',' ',36.26869793,-119.6473106
317,66,'Substation',' ',35.97812224,-120.1171583
318,115,'Substation',' ',36.10940095,-119.5571927
319,66,'Substation',' ',36.22631337,-119.6552247
320,66,'Substation',' ',36.2696503,-119.6489407
321,66,'Substation',' ',36.40412655,-119.6858489
322,66,'Substation',' ',36.2224111,-119.7799139
323,66,'Substation',' ',36.04359445,-120.1113917
324,66,'Substation',' ',36.30933381,-119.7983006
325,66,'Substation',' ',36.27633342,-119.6536119
326,66,'Substation',' ',36.00345277,-119.9494833
327,66,'Substation',' ',39.00776751,-122.8940008
328,66,'Substation',' ',39.07721407,-122.9325679
329,66,'Substation',' ',38.93233036,-122.7410063
330,115,'Substation',' ',39.11038686,-122.8128382
331,115,'Substation',' ',39.02753504,-122.6623833
332,66,'Substation',' ',39.14574049,-122.9166584
333,66,'Substation',' ',40.74489222,-121.2780001
334,66,'Substation',' ',40.31499479,-120.5403437
335,66,'Substation',' ',40.36547281,-120.4226288
336,66,'Substation',' ',40.41749316,-120.6671093
337,66,'Substation',' ',40.15526654,-120.3519513
338,66,'Substation',' ',40.58807127,-121.0915844
339,66,'Substation',' ',40.26934857,-121.0881239
340,66,'Substation',' ',40.29997937,-121.0016847
341,66,'Substation',' ',34.16270281,-118.2841966
342,66,'Substation',' ',34.27357024,-118.4587732
343,66,'Substation',' ',33.99032214,-118.3940417
344,66,'Substation',' ',34.30787223,-118.4505278
345,230,'Substation',' ',34.04335333,-118.2461297
346,66,'Substation',' ',33.77047202,-118.264962
347,230,'Substation',' ',34.17158743,-118.423154
348,230,'Substation',' ',34.1895064,-118.5915883
349,230,'Substation',' ',34.17935193,-118.5438005
350,66,'Substation',' ',34.19901498,-118.3440788
351,66,'Substation',' ',34.17638134,-118.3140289
352,66,'Substation',' ',34.12515424,-117.9249665
353,66,'Substation',' ',34.04748128,-117.9556304
354,66,'Substation',' ',34.09126536,-118.1490914
355,66,'Substation',' ',33.8349536,-118.2473837
356,66,'Substation',' ',34.07144828,-118.0265504
357,66,'Substation',' ',33.86143513,-118.3217278
358,66,'Substation',' ',34.567506,-118.147688
359,66,'Substation',' ',34.10562887,-118.0384571
360,66,'Substation',' ',34.38186113,-118.5013428
361,115,'Substation',' ',35.49595252,-119.0094663
362,66,'Substation',' ',34.14413076,-118.025731
363,230,'Substation',' ',33.81749482,-118.2434772
364,66,'Substation',' ',34.19972227,-118.1706118
365,66,'Substation',' ',33.81920229,-118.1643641
366,66,'Substation',' ',33.78133053,-118.1498197
367,66,'Substation',' ',34.13604586,-117.9109461
368,66,'Substation',' ',33.99961503,-118.1712114
369,66,'Substation',' ',34.05052838,-117.9907761
370,66,'Substation',' ',34.00810574,-118.2275295
371,66,'Substation',' ',34.0731289,-118.3973342
372,66,'Substation',' ',33.83038656,-118.1405681
373,66,'Substation',' ',33.85077402,-118.06401
374,66,'Substation',' ',33.79314877,-118.1722789
375,66,'Substation',' ',34.13379802,-117.9872804
376,66,'Substation',' ',33.93731568,-118.1299057
377,66,'Substation',' ',34.1271721,-117.9398895
378,66,'Substation',' ',33.88055076,-118.3258829
379,66,'Substation',' ',33.86007925,-118.0843086
380,66,'Substation',' ',33.90252379,-118.3118682
381,66,'Substation',' ',33.76697406,-118.1520507
382,66,'Substation',' ',33.90011631,-118.2062764
383,66,'Substation',' ',33.95650731,-118.2322842
384,66,'Substation',' ',33.77486919,-118.229778
385,66,'Substation',' ',33.90319501,-118.047069
386,66,'Substation',' ',33.86398483,-118.2169821
387,66,'Substation',' ',33.81660822,-118.1716782
388,66,'Substation',' ',33.75941402,-118.2378628
389,66,'Substation',' ',33.77861447,-118.1832932
390,66,'Substation',' ',33.91260297,-118.4141553
391,66,'Substation',' ',34.11901471,-117.8719909
392,66,'Substation',' ',33.79574877,-118.1071449
393,66,'Substation',' ',33.78410009,-118.1085203
394,66,'Substation',' ',34.02561317,-118.4721561
395,66,'Substation',' ',33.7568199,-118.2203333
396,66,'Substation',' ',34.00414636,-118.2065258
397,66,'Substation',' ',33.86341862,-118.1653359
398,66,'Substation',' ',33.88369974,-118.1203648
399,66,'Substation',' ',34.09258019,-117.8795847
400,66,'Substation',' ',33.92406834,-118.3187593
401,66,'Substation',' ',34.10697209,-118.7149439
402,66,'Substation',' ',33.76694457,-118.3731939
403,66,'Substation',' ',34.05755342,-117.9891722
404,66,'Substation',' ',33.96384263,-118.1942652
405,66,'Substation',' ',34.01457592,-118.40261
406,66,'Substation',' ',34.11389987,-117.9336277
407,66,'Substation',' ',34.71797092,-118.2889766
408,66,'Substation',' ',34.00294768,-117.8112369
409,66,'Substation',' ',33.76219353,-118.2229677
410,66,'Substation',' ',33.87232911,-118.3779075
411,66,'Substation',' ',33.86247615,-118.2230313
412,66,'Substation',' ',33.92228339,-118.3826717
413,66,'Substation',' ',33.89897697,-118.1442684
414,66,'Substation',' ',34.16225829,-118.0857225
415,66,'Substation',' ',34.49113968,-118.6163972
416,66,'Substation',' ',33.87990599,-118.090471
417,66,'Substation',' ',33.91580073,-118.3620587
418,66,'Substation',' ',33.92829702,-118.215484
419,66,'Substation',' ',33.82143255,-118.2332985
420,66,'Substation',' ',34.51456388,-118.6082972
421,66,'Substation',' ',33.9959959,-118.226704
422,66,'Substation',' ',33.89928827,-118.3828843
423,66,'Substation',' ',33.96155128,-118.1113506
424,66,'Substation',' ',34.0582889,-117.7552801
425,66,'Substation',' ',34.05753246,-117.7756362
426,66,'Substation',' ',34.12496383,-118.1498524
427,66,'Substation',' ',33.8073843,-118.2331894
428,66,'Substation',' ',34.79054444,-118.8271055
429,66,'Substation',' ',34.08150219,-118.0418247
430,66,'Substation',' ',33.8810914,-118.0474627
431,66,'Substation',' ',33.79104783,-118.1421862
432,66,'Substation',' ',34.61192881,-118.1138639
433,66,'Substation',' ',34.02427906,-118.0250218
434,66,'Substation',' ',33.92261915,-118.3071692
435,66,'Substation',' ',33.91171863,-118.3918007
436,66,'Substation',' ',33.81046975,-118.3404907
437,66,'Substation',' ',33.911845,-118.148285
438,66,'Substation',' ',34.03341675,-117.9677135
439,66,'Substation',' ',33.96564841,-118.3581035
440,66,'Substation',' ',33.80134174,-118.1594037
441,66,'Substation',' ',33.8795048,-118.2481891
442,66,'Substation',' ',34.21350946,-118.1679679
443,66,'Substation',' ',34.03710332,-118.0255447
444,230,'Substation',' ',34.01497467,-118.2035779
445,66,'Substation',' ',34.20527032,-118.2104934
446,66,'Substation',' ',33.88863032,-118.0144049
447,66,'Substation',' ',33.83024406,-118.124653
448,66,'Substation',' ',34.70049983,-118.1456041
449,66,'Substation',' ',34.6906835,-118.2284922
450,66,'Substation',' ',34.08708686,-117.9264289
451,66,'Substation',' ',34.04483575,-118.7761002
452,66,'Substation',' ',34.0899808,-117.7697035
453,66,'Substation',' ',33.94225454,-118.3473626
454,66,'Substation',' ',33.9976075,-118.217888
455,66,'Substation',' ',34.11185469,-117.9318568
456,66,'Substation',' ',34.61620142,-117.9689511
457,66,'Substation',' ',34.12116598,-117.731895
458,66,'Substation',' ',33.93180519,-118.4044994
459,66,'Substation',' ',33.84235695,-118.1205988
460,66,'Substation',' ',34.17219306,-118.347163
461,66,'Substation',' ',34.1475568,-118.7614645
462,66,'Substation',' ',34.00698276,-118.4656902
463,66,'Substation',' ',33.747174,-118.38898
464,66,'Substation',' ',33.96958134,-118.1013564
465,66,'Substation',' ',34.04972528,-117.9072064
466,66,'Substation',' ',33.85348082,-118.3356067
467,66,'Substation',' ',33.85707385,-118.3329564
468,66,'Substation',' ',33.95442599,-118.043106
469,66,'Substation',' ',34.00500608,-118.0668355
470,66,'Substation',' ',33.76395201,-118.219192
471,66,'Substation',' ',34.77510559,-118.5014361
472,66,'Substation',' ',33.82735334,-118.2684007
473,66,'Substation',' ',34.04557089,-118.1291485
474,66,'Substation',' ',34.37921299,-118.55917
475,66,'Substation',' ',34.00676088,-117.8552914
476,66,'Substation',' ',33.85951472,-118.2763265
477,66,'Substation',' ',34.41563081,-118.4527486
478,66,'Substation',' ',34.64671235,-118.094864
479,66,'Substation',' ',33.94627279,-117.9223101
480,66,'Substation',' ',34.80844445,-118.7192917
481,66,'Substation',' ',34.05002232,-118.231275
482,66,'Substation',' ',34.03454683,-117.9767578
483,66,'Substation',' ',33.8460286,-118.2338731
484,66,'Substation',' ',34.5660542,-118.0591861
485,66,'Substation',' ',33.79329009,-118.349233
